source,target
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM18WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM18WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM19WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM19WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM20WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM20WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM21WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM21WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM22WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM22WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM23WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM23WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM24WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM24WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM25WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM25WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM26WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM26WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM27WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM27WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM28WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM28WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM29WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM29WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM30WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM30WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM31WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM31WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM32WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM32WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM33WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM33WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM34WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM34WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM35WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM35WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM36WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM36WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM37WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM37WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM38WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM38WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM39WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM39WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM40WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM40WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM41WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM41WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM42WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM42WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM43WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM43WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM44WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM44WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM45WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM45WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM46WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM46WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM47WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM47WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM48WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM48WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM49WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM49WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM50WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM50WGS84Quad.json
