target,source
https://docs.ogc.org/is/23-000/23-000.html#_req_core,http://www.opengis.net/spec/sensorML/3.0/req/core
https://docs.ogc.org/is/23-000/23-000.html#_req_core_concepts-used,http://www.opengis.net/spec/sensorML/3.0/req/core/concepts-used
https://docs.ogc.org/is/23-000/23-000.html#_req_core_processes,http://www.opengis.net/spec/sensorML/3.0/req/core/processes
https://docs.ogc.org/is/23-000/23-000.html#_req_core_uniqueID,http://www.opengis.net/spec/sensorML/3.0/req/core/uniqueID
https://docs.ogc.org/is/23-000/23-000.html#_req_core_metadata,http://www.opengis.net/spec/sensorML/3.0/req/core/metadata
https://docs.ogc.org/is/23-000/23-000.html#_req_core_execution,http://www.opengis.net/spec/sensorML/3.0/req/core/execution
https://docs.ogc.org/is/23-000/23-000.html#_req_model_coreProcess,http://www.opengis.net/spec/sensorML/3.0/req/model/coreProcess
https://docs.ogc.org/is/23-000/23-000.html#_req_model_coreProcess_dependency-core,http://www.opengis.net/spec/sensorML/3.0/req/model/coreProcess/dependency-core
https://docs.ogc.org/is/23-000/23-000.html#_req_model_coreProcess_package-fully-implemented,http://www.opengis.net/spec/sensorML/3.0/req/model/coreProcess/package-fully-implemented
https://docs.ogc.org/is/23-000/23-000.html#_req_model_coreProcess_uniqueID,http://www.opengis.net/spec/sensorML/3.0/req/model/coreProcess/uniqueID
https://docs.ogc.org/is/23-000/23-000.html#_req_model_coreProcess_extensionIndependence,http://www.opengis.net/spec/sensorML/3.0/req/model/coreProcess/extensionIndependence
https://docs.ogc.org/is/23-000/23-000.html#_req_model_coreProcess_extensionRestrictions,http://www.opengis.net/spec/sensorML/3.0/req/model/coreProcess/extensionRestrictions
https://docs.ogc.org/is/23-000/23-000.html#_req_model_coreProcess_SWE-Common-dependency1,http://www.opengis.net/spec/sensorML/3.0/req/model/coreProcess/SWE-Common-dependency1
https://docs.ogc.org/is/23-000/23-000.html#_req_model_coreProcess_aggregateData,http://www.opengis.net/spec/sensorML/3.0/req/model/coreProcess/aggregateData
https://docs.ogc.org/is/23-000/23-000.html#_req_model_coreProcess_typeOf,http://www.opengis.net/spec/sensorML/3.0/req/model/coreProcess/typeOf
https://docs.ogc.org/is/23-000/23-000.html#_req_model_coreProcess_simpleInheritance,http://www.opengis.net/spec/sensorML/3.0/req/model/coreProcess/simpleInheritance
https://docs.ogc.org/is/23-000/23-000.html#_req_model_coreProcess_configuration,http://www.opengis.net/spec/sensorML/3.0/req/model/coreProcess/configuration
