target,source
https://docs.ogc.org/is/23-001/23-001.html#_req_sf_collections,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/sf/collections
https://docs.ogc.org/is/23-001/23-001.html#_req_property,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/property
https://docs.ogc.org/is/23-001/23-001.html#_req_property_canonical-url,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/property/canonical-url
https://docs.ogc.org/is/23-001/23-001.html#_req_property_resources-endpoint,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/property/resources-endpoint
https://docs.ogc.org/is/23-001/23-001.html#_req_property_canonical-endpoint,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/property/canonical-endpoint
https://docs.ogc.org/is/23-001/23-001.html#_req_property_collections,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/property/collections
https://docs.ogc.org/is/23-001/23-001.html#_req_advanced-filtering,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/advanced-filtering
https://docs.ogc.org/is/23-001/23-001.html#_req_advanced-filtering_id-list-schema,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/advanced-filtering/id-list-schema
https://docs.ogc.org/is/23-001/23-001.html#_req_advanced-filtering_resource-by-id,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/advanced-filtering/resource-by-id
https://docs.ogc.org/is/23-001/23-001.html#_req_advanced-filtering_resource-by-keyword,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/advanced-filtering/resource-by-keyword
https://docs.ogc.org/is/23-001/23-001.html#_req_advanced-filtering_feature-by-geom,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/advanced-filtering/feature-by-geom
https://docs.ogc.org/is/23-001/23-001.html#_req_advanced-filtering_system-by-parent,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/advanced-filtering/system-by-parent
https://docs.ogc.org/is/23-001/23-001.html#_req_advanced-filtering_system-by-procedure,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/advanced-filtering/system-by-procedure
https://docs.ogc.org/is/23-001/23-001.html#_req_advanced-filtering_system-by-foi,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/advanced-filtering/system-by-foi
https://docs.ogc.org/is/23-001/23-001.html#_req_advanced-filtering_system-by-obsprop,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/advanced-filtering/system-by-obsprop
https://docs.ogc.org/is/23-001/23-001.html#_req_advanced-filtering_system-by-controlprop,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/advanced-filtering/system-by-controlprop
https://docs.ogc.org/is/23-001/23-001.html#_req_advanced-filtering_deployment-by-parent,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/advanced-filtering/deployment-by-parent
https://docs.ogc.org/is/23-001/23-001.html#_req_advanced-filtering_deployment-by-system,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/advanced-filtering/deployment-by-system
https://docs.ogc.org/is/23-001/23-001.html#_req_advanced-filtering_deployment-by-foi,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/advanced-filtering/deployment-by-foi
https://docs.ogc.org/is/23-001/23-001.html#_req_advanced-filtering_deployment-by-obsprop,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/advanced-filtering/deployment-by-obsprop
https://docs.ogc.org/is/23-001/23-001.html#_req_advanced-filtering_deployment-by-controlprop,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/advanced-filtering/deployment-by-controlprop
https://docs.ogc.org/is/23-001/23-001.html#_req_advanced-filtering_procedure-by-obsprop,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/advanced-filtering/procedure-by-obsprop
https://docs.ogc.org/is/23-001/23-001.html#_req_advanced-filtering_procedure-by-controlprop,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/advanced-filtering/procedure-by-controlprop
https://docs.ogc.org/is/23-001/23-001.html#_req_advanced-filtering_sf-by-foi,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/advanced-filtering/sf-by-foi
https://docs.ogc.org/is/23-001/23-001.html#_req_advanced-filtering_sf-by-obsprop,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/advanced-filtering/sf-by-obsprop
https://docs.ogc.org/is/23-001/23-001.html#_req_advanced-filtering_sf-by-controlprop,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/advanced-filtering/sf-by-controlprop
https://docs.ogc.org/is/23-001/23-001.html#_req_advanced-filtering_prop-by-baseprop,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/advanced-filtering/prop-by-baseprop
https://docs.ogc.org/is/23-001/23-001.html#_req_advanced-filtering_prop-by-object,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/advanced-filtering/prop-by-object
https://docs.ogc.org/is/23-001/23-001.html#_req_advanced-filtering_combined-filters,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/advanced-filtering/combined-filters
https://docs.ogc.org/is/23-001/23-001.html#_req_create-replace-delete,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/create-replace-delete
https://docs.ogc.org/is/23-001/23-001.html#_req_create-replace-delete_system,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/create-replace-delete/system
https://docs.ogc.org/is/23-001/23-001.html#_req_create-replace-delete_system-delete-cascade,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/create-replace-delete/system-delete-cascade
https://docs.ogc.org/is/23-001/23-001.html#_req_create-replace-delete_subsystem,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/create-replace-delete/subsystem
https://docs.ogc.org/is/23-001/23-001.html#_req_create-replace-delete_deployment,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/create-replace-delete/deployment
https://docs.ogc.org/is/23-001/23-001.html#_req_create-replace-delete_subdeployment,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/create-replace-delete/subdeployment
https://docs.ogc.org/is/23-001/23-001.html#_req_create-replace-delete_procedure,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/create-replace-delete/procedure
https://docs.ogc.org/is/23-001/23-001.html#_req_create-replace-delete_sampling-feature,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/create-replace-delete/sampling-feature
https://docs.ogc.org/is/23-001/23-001.html#_req_create-replace-delete_property,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/create-replace-delete/property
https://docs.ogc.org/is/23-001/23-001.html#_req_create-replace-delete_create-in-collection,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/create-replace-delete/create-in-collection
https://docs.ogc.org/is/23-001/23-001.html#_req_create-replace-delete_replace-in-collection,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/create-replace-delete/replace-in-collection
https://docs.ogc.org/is/23-001/23-001.html#_req_create-replace-delete_delete-in-collection,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/create-replace-delete/delete-in-collection
https://docs.ogc.org/is/23-001/23-001.html#_req_create-replace-delete_add-to-collection,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/create-replace-delete/add-to-collection
https://docs.ogc.org/is/23-001/23-001.html#_req_update,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/update
https://docs.ogc.org/is/23-001/23-001.html#_req_update_system,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/update/system
https://docs.ogc.org/is/23-001/23-001.html#_req_update_deployment,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/update/deployment
https://docs.ogc.org/is/23-001/23-001.html#_req_update_procedure,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/update/procedure
https://docs.ogc.org/is/23-001/23-001.html#_req_update_sampling-feature,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/update/sampling-feature
https://docs.ogc.org/is/23-001/23-001.html#_req_update_property,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/update/property
https://docs.ogc.org/is/23-001/23-001.html#_req_geojson,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/geojson
https://docs.ogc.org/is/23-001/23-001.html#_req_geojson_mediatype-read,http://www.opengis.net/spec/ogcapi-connectedsystems-1/1.0/req/geojson/mediatype-read
