target,source
https://docs.ogc.org/is/24-014/24-014.html,http://www.opengis.net/doc/IS/SWE/3.0
https://docs.ogc.org/is/24-014/24-014.html#_req_core,http://www.opengis.net/spec/SWE/3.0/req/core
https://docs.ogc.org/is/24-014/24-014.html#_req_core_core-concepts-used,http://www.opengis.net/spec/SWE/3.0/req/core/core-concepts-used
https://docs.ogc.org/is/24-014/24-014.html#_req_core_boolean-rep-valid,http://www.opengis.net/spec/SWE/3.0/req/core/boolean-rep-valid
https://docs.ogc.org/is/24-014/24-014.html#_req_core_categorical-rep-valid,http://www.opengis.net/spec/SWE/3.0/req/core/categorical-rep-valid
https://docs.ogc.org/is/24-014/24-014.html#_req_core_numerical-rep-valid,http://www.opengis.net/spec/SWE/3.0/req/core/numerical-rep-valid
https://docs.ogc.org/is/24-014/24-014.html#_req_core_countable-rep-valid,http://www.opengis.net/spec/SWE/3.0/req/core/countable-rep-valid
https://docs.ogc.org/is/24-014/24-014.html#_req_core_textual-rep-valid,http://www.opengis.net/spec/SWE/3.0/req/core/textual-rep-valid
https://docs.ogc.org/is/24-014/24-014.html#_req_core_semantics-defined,http://www.opengis.net/spec/SWE/3.0/req/core/semantics-defined
https://docs.ogc.org/is/24-014/24-014.html#_req_core_semantics-resolvable,http://www.opengis.net/spec/SWE/3.0/req/core/semantics-resolvable
https://docs.ogc.org/is/24-014/24-014.html#_req_core_temporal-frame-defined,http://www.opengis.net/spec/SWE/3.0/req/core/temporal-frame-defined
https://docs.ogc.org/is/24-014/24-014.html#_req_core_spatial-frame-defined,http://www.opengis.net/spec/SWE/3.0/req/core/spatial-frame-defined
https://docs.ogc.org/is/24-014/24-014.html#_req_core_nil-reasons-defined,http://www.opengis.net/spec/SWE/3.0/req/core/nil-reasons-defined
https://docs.ogc.org/is/24-014/24-014.html#_req_core_aggregates-model-valid,http://www.opengis.net/spec/SWE/3.0/req/core/aggregates-model-valid
https://docs.ogc.org/is/24-014/24-014.html#_req_core_encoding-method-valid,http://www.opengis.net/spec/SWE/3.0/req/core/encoding-method-valid
https://docs.ogc.org/is/24-014/24-014.html#_req_uml-simple-components,http://www.opengis.net/spec/SWE/3.0/req/uml-simple-components
https://docs.ogc.org/is/24-014/24-014.html#_req_uml-simple-components_package-fully-implemented,http://www.opengis.net/spec/SWE/3.0/req/uml-simple-components/package-fully-implemented
https://docs.ogc.org/is/24-014/24-014.html#_req_uml-simple-components_iso19103-implemented,http://www.opengis.net/spec/SWE/3.0/req/uml-simple-components/iso19103-implemented
