target,source
https://docs.ogc.org/is/21-045r1/21-045r1.html#conf_class_uris,http://www.opengis.net/spec/json-fg-1/1.0/conf/core
https://docs.ogc.org/is/21-045r1/21-045r1.html#conf_class_uris,http://www.opengis.net/spec/json-fg-1/1.0/conf/polyhedra
https://docs.ogc.org/is/21-045r1/21-045r1.html#conf_class_uris,http://www.opengis.net/spec/json-fg-1/1.0/conf/prisms
https://docs.ogc.org/is/21-045r1/21-045r1.html#conf_class_uris,http://www.opengis.net/spec/json-fg-1/1.0/conf/circular-arcs
https://docs.ogc.org/is/21-045r1/21-045r1.html#conf_class_uris,http://www.opengis.net/spec/json-fg-1/1.0/conf/measures
https://docs.ogc.org/is/21-045r1/21-045r1.html#conf_class_uris,http://www.opengis.net/spec/json-fg-1/1.0/conf/types-schemas
https://docs.ogc.org/is/21-045r1/21-045r1.html#conf_class_uris,http://www.opengis.net/spec/json-fg-1/1.0/conf/profiles
https://docs.ogc.org/is/21-045r1/21-045r1.html#conf_class_uris,http://www.opengis.net/spec/json-fg-1/1.0/conf/api
https://docs.ogc.org/is/21-045r1/21-045r1.html#rc_core,http://www.opengis.net/spec/json-fg-1/1.0/req/core
https://docs.ogc.org/is/21-045r1/21-045r1.html#core_schema-valid,http://www.opengis.net/spec/json-fg-1/1.0/req/core/schema-valid
https://docs.ogc.org/is/21-045r1/21-045r1.html#core_metadata,http://www.opengis.net/spec/json-fg-1/1.0/req/core/metadata
https://docs.ogc.org/is/21-045r1/21-045r1.html#core_instant,http://www.opengis.net/spec/json-fg-1/1.0/req/core/instant
https://docs.ogc.org/is/21-045r1/21-045r1.html#core_interval,http://www.opengis.net/spec/json-fg-1/1.0/req/core/interval
https://docs.ogc.org/is/21-045r1/21-045r1.html#core_instant-and-interval,http://www.opengis.net/spec/json-fg-1/1.0/req/core/instant-and-interval
https://docs.ogc.org/is/21-045r1/21-045r1.html#core_utc,http://www.opengis.net/spec/json-fg-1/1.0/req/core/utc
https://docs.ogc.org/is/21-045r1/21-045r1.html#core_coordinate-dimension,http://www.opengis.net/spec/json-fg-1/1.0/req/core/coordinate-dimension
https://docs.ogc.org/is/21-045r1/21-045r1.html#core_geometry-wgs84,http://www.opengis.net/spec/json-fg-1/1.0/req/core/geometry-wgs84
https://docs.ogc.org/is/21-045r1/21-045r1.html#core_geometry-no-jsonfg-extension,http://www.opengis.net/spec/json-fg-1/1.0/req/core/geometry-no-jsonfg-extension
https://docs.ogc.org/is/21-045r1/21-045r1.html#core_valid-geometry,http://www.opengis.net/spec/json-fg-1/1.0/req/core/valid-geometry
