target,source
https://docs.ogc.org/is/20-004r1/20-004r1.html#rc_record-core,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/record-core
https://docs.ogc.org/is/20-004r1/20-004r1.html#req_record-core_mandatory-properties-record,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/record-core/mandatory-properties-record
https://docs.ogc.org/is/20-004r1/20-004r1.html#req_record-core_time-instant,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/record-core/time-instant
https://docs.ogc.org/is/20-004r1/20-004r1.html#req_record-core_time-interval,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/record-core/time-interval
https://docs.ogc.org/is/20-004r1/20-004r1.html#req_record-core_time-instant-interval,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/record-core/time-instant-interval
https://docs.ogc.org/is/20-004r1/20-004r1.html#req_record-core_time-zone,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/record-core/time-zone
https://docs.ogc.org/is/20-004r1/20-004r1.html#req_record-core_contact,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/record-core/contact
https://docs.ogc.org/is/20-004r1/20-004r1.html#req_record-core_license,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/record-core/license
https://docs.ogc.org/is/20-004r1/20-004r1.html#req_record-core_links,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/record-core/links
https://docs.ogc.org/is/20-004r1/20-004r1.html#req_record-core_templated-link,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/record-core/templated-link
https://docs.ogc.org/is/20-004r1/20-004r1.html#req_record-core_templated-link-header,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/record-core/templated-link-header
https://docs.ogc.org/is/20-004r1/20-004r1.html#rc_record-collection,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/record-collection
https://docs.ogc.org/is/20-004r1/20-004r1.html#req_record-collection_mandatory-properties-collection,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/record-collection/mandatory-properties-collection
https://docs.ogc.org/is/20-004r1/20-004r1.html#req_record-collection_itemType,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/record-collection/itemType
https://docs.ogc.org/is/20-004r1/20-004r1.html#req_record-collection_contact,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/record-collection/contact
https://docs.ogc.org/is/20-004r1/20-004r1.html#req_record-collection_license,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/record-collection/license
https://docs.ogc.org/is/20-004r1/20-004r1.html#req_record-collection_links-record,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/record-collection/links-record
https://docs.ogc.org/is/20-004r1/20-004r1.html#req_record-collection_links-records,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/record-collection/links-records
https://docs.ogc.org/is/20-004r1/20-004r1.html#req_record-collection_records,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/record-collection/records
https://docs.ogc.org/is/20-004r1/20-004r1.html#req_record-collection_records-array-name,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/record-collection/records-array-name
https://docs.ogc.org/is/20-004r1/20-004r1.html#req_record-collection_links-catalog-related,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/record-collection/links-catalog-related
https://docs.ogc.org/is/20-004r1/20-004r1.html#req_record-collection_links-catalog-series,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/record-collection/links-catalog-series
https://docs.ogc.org/is/20-004r1/20-004r1.html#req_record-collection_links-catalog-hierarchy,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/record-collection/links-catalog-hierarchy
https://docs.ogc.org/is/20-004r1/20-004r1.html#req_record-collection_links,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/record-collection/links
https://docs.ogc.org/is/20-004r1/20-004r1.html#rc_record-core-query-parameters,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/record-core-query-parameters
https://docs.ogc.org/is/20-004r1/20-004r1.html#req_record-core-query-parameters_bbox,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/record-core-query-parameters/bbox
https://docs.ogc.org/is/20-004r1/20-004r1.html#req_record-core-query-parameters_datetime,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/record-core-query-parameters/datetime
https://docs.ogc.org/is/20-004r1/20-004r1.html#req_record-core-query-parameters_limit,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/record-core-query-parameters/limit
https://docs.ogc.org/is/20-004r1/20-004r1.html#req_record-core-query-parameters_q-definition,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/record-core-query-parameters/q-definition
https://docs.ogc.org/is/20-004r1/20-004r1.html#req_record-core-query-parameters_q-response,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/record-core-query-parameters/q-response
https://docs.ogc.org/is/20-004r1/20-004r1.html#req_record-core-query-parameters_type-definition,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/record-core-query-parameters/type-definition
https://docs.ogc.org/is/20-004r1/20-004r1.html#req_record-core-query-parameters_type-response,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/record-core-query-parameters/type-response
https://docs.ogc.org/is/20-004r1/20-004r1.html#req_record-core-query-parameters_ids-definition,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/record-core-query-parameters/ids-definition
https://docs.ogc.org/is/20-004r1/20-004r1.html#req_record-core-query-parameters_ids-response,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/record-core-query-parameters/ids-response
https://docs.ogc.org/is/20-004r1/20-004r1.html#req_record-core-query-parameters_externalIds-definition,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/record-core-query-parameters/externalIds-definition
https://docs.ogc.org/is/20-004r1/20-004r1.html#req_record-core-query-parameters_externalIds-response,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/record-core-query-parameters/externalIds-response
https://docs.ogc.org/is/20-004r1/20-004r1.html#rc_records-api,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/records-api
https://docs.ogc.org/is/20-004r1/20-004r1.html#req_records-api_features-api,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/records-api/features-api
https://docs.ogc.org/is/20-004r1/20-004r1.html#req_records-api_resource-name-mapping,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/records-api/resource-name-mapping
https://docs.ogc.org/is/20-004r1/20-004r1.html#req_records-api_catalog-response,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/records-api/catalog-response
https://docs.ogc.org/is/20-004r1/20-004r1.html#req_records-api_catalogs-response,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/records-api/catalogs-response
https://docs.ogc.org/is/20-004r1/20-004r1.html#req_records-api_records-op,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/records-api/records-op
https://docs.ogc.org/is/20-004r1/20-004r1.html#req_records-api_mandatory-params,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/records-api/mandatory-params
https://docs.ogc.org/is/20-004r1/20-004r1.html#req_records-api_query-params,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/records-api/query-params
https://docs.ogc.org/is/20-004r1/20-004r1.html#req_records-api_record-op,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/records-api/record-op
https://docs.ogc.org/is/20-004r1/20-004r1.html#req_records-api_record-response,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/records-api/record-response
https://docs.ogc.org/is/20-004r1/20-004r1.html#rc_sorting,http://www.opengis.net/spec/ogcapi-records-1/1.0/req/sorting
