target,source
https://docs.ogc.org/is/24-032r1/24-032r1.html#req_class_discovery,https://www.opengis.net/spec/sensorthings-websub/1.0/req/discovery
https://docs.ogc.org/is/24-032r1/24-032r1.html#req_discovery_landing_page,https://www.opengis.net/spec/sensorthings-websub/1.0/req/req-class-discovery/req-landing-page-discovery
https://docs.ogc.org/is/24-032r1/24-032r1.html#_req_req-class-discovery_req-landing-page-topics,https://www.opengis.net/spec/sensorthings-websub/1.0/req/req-class-discovery/req-landing-page-topics
https://docs.ogc.org/is/24-032r1/24-032r1.html#_req_req-class-discovery_req-landing-page-odata,https://www.opengis.net/spec/sensorthings-websub/1.0/req/req-class-discovery/req-landing-page-odata
https://docs.ogc.org/is/24-032r1/24-032r1.html#req_discovery_http_methods,https://www.opengis.net/spec/sensorthings-websub/1.0/req/req-class-discovery/req-http-methods
https://docs.ogc.org/is/24-032r1/24-032r1.html#req_discovery_link_hub,https://www.opengis.net/spec/sensorthings-websub/1.0/req/req-class-discovery/req-link-hub
https://docs.ogc.org/is/24-032r1/24-032r1.html#req_discovery_link_self,https://www.opengis.net/spec/sensorthings-websub/1.0/req/req-class-discovery/req-link-self
https://docs.ogc.org/is/24-032r1/24-032r1.html#req_discovery_link_help,https://www.opengis.net/spec/sensorthings-websub/1.0/req/req-class-discovery/req-link-help
https://docs.ogc.org/is/24-032r1/24-032r1.html#req_odata_support,https://www.opengis.net/spec/sensorthings-websub/1.0/req/req-class-discovery/req-odata-support
https://docs.ogc.org/is/24-032r1/24-032r1.html#req_odata_discovery,https://www.opengis.net/spec/sensorthings-websub/1.0/req/req-class-discovery/req-odata-discovery
https://docs.ogc.org/is/24-032r1/24-032r1.html#req_odata_blacklisting,https://www.opengis.net/spec/sensorthings-websub/1.0/req/req-class-discovery/req-odata-blacklisting
https://docs.ogc.org/is/24-032r1/24-032r1.html#req_topics_discovery,https://www.opengis.net/spec/sensorthings-websub/1.0/req/req-class-discovery/req-topics-discovery
https://docs.ogc.org/is/24-032r1/24-032r1.html#req_topics_blacklisting,https://www.opengis.net/spec/sensorthings-websub/1.0/req/req-class-discovery/req-topics-blacklisting
https://docs.ogc.org/is/24-032r1/24-032r1.html#ats_discovery,https://www.opengis.net/spec/sensorthings-websub/1.0/conf/discovery
https://docs.ogc.org/is/24-032r1/24-032r1.html#ats_sta_websub_landing_page_discovery,https://www.opengis.net/spec/sensorthings-websub/1.0/conf/discovery/api-sta-websub-landing-page-discovery
https://docs.ogc.org/is/24-032r1/24-032r1.html#ats_sta_websub_landing_page_topics_discovery,https://www.opengis.net/spec/sensorthings-websub/1.0/conf/discovery/api-sta-websub-landing-page-topics
https://docs.ogc.org/is/24-032r1/24-032r1.html#ats_sta_websub_landing_page_odata_discovery,https://www.opengis.net/spec/sensorthings-websub/1.0/conf/discovery/api-sta-websub-landing-page-odata
https://docs.ogc.org/is/24-032r1/24-032r1.html#ats_sta_websub_discovery_get,https://www.opengis.net/spec/sensorthings-websub/1.0/conf/discovery/api-sta-websub-http-get
https://docs.ogc.org/is/24-032r1/24-032r1.html#ats_sta_websub_discovery_head,https://www.opengis.net/spec/sensorthings-websub/1.0/conf/discovery/api-sta-websub-http-head
https://docs.ogc.org/is/24-032r1/24-032r1.html#ats_sta_websub_discovery_link_hub,https://www.opengis.net/spec/sensorthings-websub/1.0/conf/discovery/api-sta-websub-link-header-hub
https://docs.ogc.org/is/24-032r1/24-032r1.html#ats_sta_websub_discovery_link_self,https://www.opengis.net/spec/sensorthings-websub/1.0/conf/discovery/api-sta-websub-link-header-self
https://docs.ogc.org/is/24-032r1/24-032r1.html#ats_sta_websub_discovery_link_help,https://www.opengis.net/spec/sensorthings-websub/1.0/conf/discovery/api-sta-websub-link-header-help
https://docs.ogc.org/is/24-032r1/24-032r1.html#ats_sta_websub_odata_support,https://www.opengis.net/spec/sensorthings-websub/1.0/conf/discovery/api-sta-websub-odata-support
https://docs.ogc.org/is/24-032r1/24-032r1.html#ats_sta_websub_odata_discovery,https://www.opengis.net/spec/sensorthings-websub/1.0/conf/discovery/api-sta-websub-odata-discovery
https://docs.ogc.org/is/24-032r1/24-032r1.html#ats_sta_websub_odata_blacklisting,https://www.opengis.net/spec/sensorthings-websub/1.0/conf/discovery/api-sta-websub-odata-blacklisting
https://docs.ogc.org/is/24-032r1/24-032r1.html#ats_sta_websub_odata_no_blacklisting,https://www.opengis.net/spec/sensorthings-websub/1.0/conf/discovery/api-sta-websub-odata-no-blacklisting
https://docs.ogc.org/is/24-032r1/24-032r1.html#ats_sta_websub_landing_page_topic_discovery,https://www.opengis.net/spec/sensorthings-websub/1.0/conf/discovery/api-sta-websub-topics-discovery
https://docs.ogc.org/is/24-032r1/24-032r1.html#ats_sta_websub_topic_blacklisting,https://www.opengis.net/spec/sensorthings-websub/1.0/conf/discovery/api-sta-websub-topics-blacklisting
https://docs.ogc.org/is/24-032r1/24-032r1.html#ats_sta_websub_topic_no_blacklisting,https://www.opengis.net/spec/sensorthings-websub/1.0/conf/discovery/api-sta-websub-topics-no-blacklisting
