timestamp,target,source,type
2024-08-12T15:21:31,https://docs.ogc.org/is/20-058/20-058.html#req_display-resolution_mm-per-pixel-definition,https://www.opengis.net/spec/ogcapi-maps-1/1.0/req/display-resolution/mm-per-pixel-definition,requirement
2024-08-12T15:21:31,https://docs.ogc.org/is/20-058/20-058.html#req_display-resolution_map-success,https://www.opengis.net/spec/ogcapi-maps-1/1.0/req/display-resolution/map-success,requirement
2024-08-12T15:21:31,https://docs.ogc.org/is/20-058/20-058.html#rc_table_spatial-subsetting,https://www.opengis.net/spec/ogcapi-maps-1/1.0/req/spatial-subsetting,requirements_class
2024-08-12T15:21:31,https://docs.ogc.org/is/20-058/20-058.html#req_spatial-subsetting_bbox-crs,https://www.opengis.net/spec/ogcapi-maps-1/1.0/req/spatial-subsetting/bbox-crs,requirement
2024-08-12T15:21:31,https://docs.ogc.org/is/20-058/20-058.html#req_spatial-subsetting_subset-crs,https://www.opengis.net/spec/ogcapi-maps-1/1.0/req/spatial-subsetting/subset-crs,requirement
2024-08-12T15:21:31,https://docs.ogc.org/is/20-058/20-058.html#req_spatial-subsetting_center-crs,https://www.opengis.net/spec/ogcapi-maps-1/1.0/req/spatial-subsetting/center-crs,requirement
2024-08-12T15:21:31,https://docs.ogc.org/is/20-058/20-058.html#per_spatial-subsetting_crs-curie,https://www.opengis.net/spec/ogcapi-maps-1/1.0/per/spatial-subsetting/crs-curie,Permission 3
2024-08-12T15:21:31,https://docs.ogc.org/is/20-058/20-058.html#req_spatial-subsetting_bbox-definition,https://www.opengis.net/spec/ogcapi-maps-1/1.0/req/spatial-subsetting/bbox-definition,requirement
2024-08-12T15:21:31,https://docs.ogc.org/is/20-058/20-058.html#req_spatial-subsetting_subset-definition,https://www.opengis.net/spec/ogcapi-maps-1/1.0/req/spatial-subsetting/subset-definition,requirement
2024-08-12T15:21:31,https://docs.ogc.org/is/20-058/20-058.html#req_spatial-subsetting_subset-response,https://www.opengis.net/spec/ogcapi-maps-1/1.0/req/spatial-subsetting/subset-response,requirement
